Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Mes,Mes_num,feminicidio,homicidio_culposo,homicidio_doloso,total_intencional,total_homicidios_y_feminicidio,dias_mes,promedio_diario_total_homicidios
2026,27,Tabasco,27001,Balancán,Enero,1,0,0,0,0,0,31,0.0
2026,27,Tabasco,27001,Balancán,Febrero,2,0,0,0,0,0,28,0.0
2026,27,Tabasco,27001,Balancán,Marzo,3,0,1,0,0,1,31,0.03225806451612903
2026,27,Tabasco,27001,Balancán,Abril,4,0,2,1,1,3,30,0.1
2026,27,Tabasco,27001,Balancán,Mayo,5,0,0,0,0,0,31,0.0
2026,27,Tabasco,27003,Centla,Enero,1,0,0,0,0,0,31,0.0
2026,27,Tabasco,27003,Centla,Febrero,2,0,2,0,0,2,28,0.07142857142857142
2026,27,Tabasco,27003,Centla,Marzo,3,0,6,1,1,7,31,0.22580645161290322
2026,27,Tabasco,27003,Centla,Abril,4,0,4,0,0,4,30,0.13333333333333333
2026,27,Tabasco,27003,Centla,Mayo,5,0,3,1,1,4,31,0.12903225806451613
2026,27,Tabasco,27004,Centro,Enero,1,0,9,14,14,23,31,0.7419354838709677
2026,27,Tabasco,27004,Centro,Febrero,2,1,10,18,19,29,28,1.0357142857142858
2026,27,Tabasco,27004,Centro,Marzo,3,1,13,27,28,41,31,1.3225806451612903
2026,27,Tabasco,27004,Centro,Abril,4,1,12,22,23,35,30,1.1666666666666667
2026,27,Tabasco,27004,Centro,Mayo,5,0,24,25,25,49,31,1.5806451612903225
2026,27,Tabasco,27005,Comalcalco,Enero,1,0,7,7,7,14,31,0.45161290322580644
2026,27,Tabasco,27005,Comalcalco,Febrero,2,0,2,1,1,3,28,0.10714285714285714
2026,27,Tabasco,27005,Comalcalco,Marzo,3,0,1,1,1,2,31,0.06451612903225806
2026,27,Tabasco,27005,Comalcalco,Abril,4,0,1,2,2,3,30,0.1
2026,27,Tabasco,27005,Comalcalco,Mayo,5,0,5,4,4,9,31,0.2903225806451613
2026,27,Tabasco,27006,Cunduacán,Enero,1,0,3,7,7,10,31,0.3225806451612903
2026,27,Tabasco,27006,Cunduacán,Febrero,2,0,5,5,5,10,28,0.35714285714285715
2026,27,Tabasco,27006,Cunduacán,Marzo,3,0,4,2,2,6,31,0.1935483870967742
2026,27,Tabasco,27006,Cunduacán,Abril,4,0,4,4,4,8,30,0.26666666666666666
2026,27,Tabasco,27006,Cunduacán,Mayo,5,0,3,2,2,5,31,0.16129032258064516
2026,27,Tabasco,27002,Cárdenas,Enero,1,0,4,1,1,5,31,0.16129032258064516
2026,27,Tabasco,27002,Cárdenas,Febrero,2,0,2,4,4,6,28,0.21428571428571427
2026,27,Tabasco,27002,Cárdenas,Marzo,3,0,8,6,6,14,31,0.45161290322580644
2026,27,Tabasco,27002,Cárdenas,Abril,4,0,4,2,2,6,30,0.2
2026,27,Tabasco,27002,Cárdenas,Mayo,5,0,11,4,4,15,31,0.4838709677419355
2026,27,Tabasco,27007,Emiliano Zapata,Enero,1,0,0,0,0,0,31,0.0
2026,27,Tabasco,27007,Emiliano Zapata,Febrero,2,0,0,0,0,0,28,0.0
2026,27,Tabasco,27007,Emiliano Zapata,Marzo,3,0,1,0,0,1,31,0.03225806451612903
2026,27,Tabasco,27007,Emiliano Zapata,Abril,4,0,3,1,1,4,30,0.13333333333333333
2026,27,Tabasco,27007,Emiliano Zapata,Mayo,5,0,0,1,1,1,31,0.03225806451612903
2026,27,Tabasco,27008,Huimanguillo,Enero,1,0,1,9,9,10,31,0.3225806451612903
2026,27,Tabasco,27008,Huimanguillo,Febrero,2,0,2,3,3,5,28,0.17857142857142858
2026,27,Tabasco,27008,Huimanguillo,Marzo,3,0,6,7,7,13,31,0.41935483870967744
2026,27,Tabasco,27008,Huimanguillo,Abril,4,0,5,6,6,11,30,0.36666666666666664
2026,27,Tabasco,27008,Huimanguillo,Mayo,5,0,4,6,6,10,31,0.3225806451612903
2026,27,Tabasco,27009,Jalapa,Enero,1,0,1,1,1,2,31,0.06451612903225806
2026,27,Tabasco,27009,Jalapa,Febrero,2,0,0,0,0,0,28,0.0
2026,27,Tabasco,27009,Jalapa,Marzo,3,0,0,0,0,0,31,0.0
2026,27,Tabasco,27009,Jalapa,Abril,4,0,4,4,4,8,30,0.26666666666666666
2026,27,Tabasco,27009,Jalapa,Mayo,5,0,0,0,0,0,31,0.0
2026,27,Tabasco,27010,Jalpa de Méndez,Enero,1,0,1,2,2,3,31,0.0967741935483871
2026,27,Tabasco,27010,Jalpa de Méndez,Febrero,2,0,0,7,7,7,28,0.25
2026,27,Tabasco,27010,Jalpa de Méndez,Marzo,3,0,0,2,2,2,31,0.06451612903225806
2026,27,Tabasco,27010,Jalpa de Méndez,Abril,4,0,3,5,5,8,30,0.26666666666666666
2026,27,Tabasco,27010,Jalpa de Méndez,Mayo,5,0,2,5,5,7,31,0.22580645161290322
2026,27,Tabasco,27011,Jonuta,Enero,1,0,1,0,0,1,31,0.03225806451612903
2026,27,Tabasco,27011,Jonuta,Febrero,2,0,0,0,0,0,28,0.0
2026,27,Tabasco,27011,Jonuta,Marzo,3,0,1,0,0,1,31,0.03225806451612903
