Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,homicidio_doloso,homicidio_culposo,feminicidio,total_intencional,total_homicidios_y_feminicidio,pct_total_intencional,pct_total_amplio,rank_total_intencional,rank_total_amplio
2026,27,Tabasco,27004,Centro,81.0,44.0,3.0,84.0,128.0,40.0,34.68834688346883,1,1
2026,27,Tabasco,27008,Huimanguillo,25.0,14.0,0.0,25.0,39.0,11.904761904761903,10.569105691056912,2,2
2026,27,Tabasco,27006,Cunduacán,18.0,16.0,0.0,18.0,34.0,8.571428571428571,9.214092140921409,3,3
2026,27,Tabasco,27002,Cárdenas,13.0,18.0,0.0,13.0,31.0,6.190476190476191,8.401084010840108,6,4
2026,27,Tabasco,27005,Comalcalco,11.0,11.0,0.0,11.0,22.0,5.238095238095238,5.9620596205962055,7,5
2026,27,Tabasco,27013,Nacajuca,14.0,8.0,0.0,14.0,22.0,6.666666666666667,5.9620596205962055,5,5
2026,27,Tabasco,27010,Jalpa de Méndez,16.0,4.0,0.0,16.0,20.0,7.6190476190476195,5.420054200542006,4,6
2026,27,Tabasco,27012,Macuspana,6.0,11.0,0.0,6.0,17.0,2.857142857142857,4.607046070460704,9,7
2026,27,Tabasco,27003,Centla,1.0,12.0,0.0,1.0,13.0,0.4761904761904762,3.523035230352303,12,8
2026,27,Tabasco,27009,Jalapa,5.0,5.0,0.0,5.0,10.0,2.380952380952381,2.710027100271003,10,9
2026,27,Tabasco,27016,Teapa,6.0,3.0,1.0,7.0,10.0,3.3333333333333335,2.710027100271003,8,9
2026,27,Tabasco,27014,Paraíso,4.0,3.0,0.0,4.0,7.0,1.9047619047619049,1.8970189701897018,11,10
2026,27,Tabasco,27007,Emiliano Zapata,1.0,4.0,0.0,1.0,5.0,0.4761904761904762,1.3550135501355014,12,11
2026,27,Tabasco,27017,Tenosique,4.0,1.0,0.0,4.0,5.0,1.9047619047619049,1.3550135501355014,11,11
2026,27,Tabasco,27001,Balancán,1.0,3.0,0.0,1.0,4.0,0.4761904761904762,1.084010840108401,12,12
2026,27,Tabasco,27011,Jonuta,0.0,2.0,0.0,0.0,2.0,0.0,0.5420054200542005,13,13
2026,27,Tabasco,27999,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,14
2026,27,Tabasco,27015,Tacotalpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,14
