Municipio,Enero,Febrero,Marzo,Abril,Total
Centro,23.0,29.0,41.0,35.0,128.0
Huimanguillo,10.0,5.0,13.0,11.0,39.0
Cunduacán,10.0,10.0,6.0,8.0,34.0
Cárdenas,5.0,6.0,14.0,6.0,31.0
Comalcalco,14.0,3.0,2.0,3.0,22.0
Nacajuca,6.0,12.0,2.0,2.0,22.0
Jalpa de Méndez,3.0,7.0,2.0,8.0,20.0
Macuspana,2.0,5.0,8.0,2.0,17.0
Centla,0.0,2.0,7.0,4.0,13.0
Teapa,3.0,3.0,2.0,2.0,10.0
Jalapa,2.0,0.0,0.0,8.0,10.0
Paraíso,1.0,2.0,1.0,3.0,7.0
Tenosique,0.0,2.0,1.0,2.0,5.0
Emiliano Zapata,0.0,0.0,1.0,4.0,5.0
Balancán,0.0,0.0,1.0,3.0,4.0
Jonuta,1.0,0.0,1.0,0.0,2.0
No especificado,0.0,0.0,0.0,0.0,0.0
Tacotalpa,0.0,0.0,0.0,0.0,0.0
